lng,lat
-122.280243397,37.7878250385
-122.280219144,37.7878274031
-122.28019443,37.7878319875
-122.28017018,37.7878399992
-122.280146217,37.7878512538
-122.280124895,37.7878645816
-122.280105524,37.7878807977
-122.280088093,37.7878982011
-122.280072102,37.787916634
-122.280058316,37.7879358519
-122.280047239,37.7879561396
-122.280039082,37.7879763981
-122.280034818,37.787996683
-122.280033911,37.7880161497
-122.280037059,37.7880340267
-122.280045994,37.7880531301
-122.280059372,37.7880691088
-122.280078103,37.7880809325
-122.280100454,37.7880884208
-122.280125949,37.7880916541
-122.280152385,37.7880894124
-122.280175066,37.7880844098
-122.280196772,37.7880760652
-122.280215849,37.7880643954
-122.280232109,37.7880501248
-122.280243633,37.7880335463
-122.280250654,37.7880157036
-122.280253253,37.7879975757
-122.280249778,37.787976846
-122.280241803,37.7879582278
-122.280230052,37.7879430865
-122.280217644,37.7879260016
-122.280204054,37.7879083399
-122.280193771,37.7878923034
-122.280185884,37.7878749861
-122.280181174,37.7878564687
-122.280180353,37.7878372173
-122.280183788,37.787817784
-122.280190936,37.7877989633
-122.280201424,37.7877809324
-122.280214399,37.7877631201
-122.280229414,37.7877461472
-122.280246421,37.7877297315
-122.280264972,37.7877142319
-122.280285174,37.7877000317
-122.280306164,37.7876871773
-122.280328452,37.7876757488
-122.280350661,37.7876667955
-122.280374026,37.7876600781
-122.280397425,37.7876559929
-122.280421128,37.7876549142
-122.280444474,37.7876571734
-122.280465785,37.7876633413
-122.280485232,37.7876732746
-122.280503204,37.7876891409
-122.280515144,37.7877086794
-122.280519478,37.7877269017
-122.280518033,37.7877457538
-122.280510806,37.7877641738
-122.280498749,37.7877813628
-122.280482657,37.7877965203
-122.280463435,37.7878092804
-122.280442065,37.7878196287
-122.280419347,37.7878274507
-122.280395815,37.7878324819
-122.28037182,37.7878347923
-122.280348178,37.7878342902
-122.28032484,37.7878316247
-122.280302196,37.7878275337
-122.280279335,37.78782451
-122.280255925,37.7878219445
-122.280232454,37.7878216326
-122.280208722,37.7878244085
-122.280184914,37.7878307469
-122.280163216,37.7878396322
-122.280141332,37.7878513008
-122.280121142,37.7878654092
-122.280102917,37.7878812516
-122.280087003,37.7878982213
-122.28007093,37.7879157297
-122.280056307,37.7879334045
-122.280042936,37.7879513926
-122.280032797,37.7879696809
-122.280026131,37.78798785
-122.28002422,37.7880092734
-122.280027903,37.788029332
-122.280035504,37.7880461558
-122.280047327,37.7880626566
-122.280063193,37.7880763571
-122.280081855,37.7880866231
-122.280106051,37.7880933007
-122.280128897,37.7880946623
-122.280155008,37.7880920578
-122.280179301,37.7880864452
-122.280203214,37.7880770037
-122.280223369,37.7880631222
-122.280239397,37.7880466968
-122.280249168,37.7880282312
-122.280254086,37.7880090696
-122.280252924,37.7879900633
-122.280246014,37.7879700513
-122.280234105,37.7879526049
-122.280221453,37.7879371092
-122.280208501,37.7879207905
-122.280196729,37.7879029379
-122.280188262,37.7878831582
-122.280184082,37.7878652822
-122.280183758,37.7878463286
-122.280187766,37.7878264944
-122.280195786,37.7878061331
-122.280207077,37.7877863187
-122.280221423,37.7877672465
-122.28023646,37.7877489962
-122.280252747,37.7877317362
-122.280269782,37.787715276
-122.280286689,37.7877001341
-122.280304296,37.7876862012
-122.280321848,37.7876742249
-122.280344847,37.7876628227
-122.280368702,37.7876549117
-122.280392886,37.7876505165
-122.280415978,37.7876495755
-122.280441232,37.7876532301
-122.280462561,37.7876616694
-122.280480548,37.7876749635
-122.280493742,37.7876931801
-122.280500672,37.7877116497
-122.280501741,37.7877330906
-122.280497511,37.7877515982
-122.280489125,37.7877699891
-122.280476879,37.7877872783
-122.280461416,37.7878025424
-122.28044264,37.7878154259
-122.280422317,37.7878255283
-122.280400486,37.787832445
-122.280378061,37.7878361258
-122.28035177,37.7878364305
-122.280326247,37.7878334975
-122.280300364,37.7878283707
-122.280278203,37.787824487
-122.28025421,37.7878219096
-122.280228992,37.7878216797
-122.280203169,37.7878254657
-122.280177426,37.7878329538
-122.28015766,37.7878420871
-122.280139309,37.7878534909
-122.280122807,37.7878671846
-122.280107033,37.7878818352
-122.280092416,37.7878968887
-122.28007807,37.7879121043
-122.280063838,37.7879272827
-122.280050372,37.7879421913
-122.280035907,37.7879605697
-122.280025197,37.7879786443
-122.280019858,37.7879968785
-122.280019331,37.7880149339
-122.280024923,37.7880352939
-122.280035575,37.7880533128
-122.280050012,37.7880687333
-122.280069362,37.7880814782
-122.280092753,37.7880908657
-122.280119386,37.7880958838
-122.280142018,37.788095755
-122.280165151,37.7880921361
-122.280187604,37.7880848373
-122.280207485,37.788073708
-122.280224175,37.7880599125
-122.2802367,37.7880438342
-122.280245159,37.7880268179
-122.28024979,37.7880059655
-122.280248477,37.7879858221
-122.280241933,37.7879676319
-122.280231656,37.7879516575
-122.280218865,37.7879355967
-122.280205662,37.787917461
-122.280193538,37.7878983228
-122.28018531,37.7878769433
-122.280182574,37.7878582338
-122.280183311,37.78783898
-122.280188408,37.787819873
-122.280196485,37.7878013467
-122.280208042,37.7877838104
-122.280220761,37.7877669475
-122.280235356,37.7877503003
-122.280252724,37.787733522
-122.280271703,37.7877172855
-122.280292478,37.787701978
-122.28031441,37.7876880111
-122.280337128,37.7876756282
-122.280359578,37.7876656889
-122.280383057,37.7876576999
-122.28040608,37.7876535761
-122.280428947,37.7876522046
-122.280455235,37.7876546306
-122.280477853,37.7876619549
-122.280498703,37.7876726776
-122.280514288,37.7876880629
-122.280524547,37.7877069127
-122.280528103,37.7877252814
-122.280526122,37.787744752
-122.280518632,37.7877647362
-122.280505972,37.7877839712
-122.280488544,37.7878013717
-122.280467116,37.7878157238
-122.280442989,37.7878271017
-122.280417841,37.7878344852
-122.280392137,37.7878383336
-122.280366336,37.7878392147
-122.28034189,37.7878368081
-122.280316841,37.7878330909
-122.280292231,37.7878277702
-122.280265619,37.787824484
-122.280237281,37.7878236268
-122.280209464,37.7878268383
-122.280186992,37.7878322186
-122.280166867,37.7878405943
-122.280147471,37.7878513773
-122.280130237,37.7878637171
-122.28011433,37.7878770243
-122.280099465,37.7878906763
-122.280081529,37.7879082025
-122.280064751,37.7879260384
-122.280049083,37.7879442184
-122.280036843,37.7879627039
-122.280028384,37.7879808437
-122.280023982,37.7880019601
-122.28002594,37.7880223081
-122.28003317,37.7880410297
-122.280044188,37.7880577362
-122.280060183,37.7880715905
-122.280080657,37.78808233
-122.280103951,37.7880875047
-122.280129966,37.7880881817
-122.280157094,37.7880851284
-122.280179522,37.7880789151
-122.280200911,37.78806993
-122.280219499,37.7880579654
-122.280234937,37.7880436408
-122.280244921,37.7880276505
-122.280250895,37.7880070406
-122.280250367,37.7879904127
-122.280245044,37.7879724903
-122.280236093,37.7879562175
-122.280224538,37.7879407287
-122.280212343,37.7879240718
-122.280200226,37.7879058556
-122.280191583,37.7878889407
-122.280185423,37.7878706275
-122.280182416,37.7878514642
-122.280183287,37.7878310058
-122.280188128,37.787810143
-122.280196788,37.7877889698
-122.280206135,37.7877723348
-122.28021805,37.7877557332
-122.280231111,37.7877396392
-122.280246082,37.7877244598
-122.28026196,37.7877099012
